Timestamp,Elapsed_Sec,Temp_A_K,Temp_B_K,Setpoint_K,Error_K,Heater_Pct,Ramp_Rate_K_min,Active_PID_Table,Control_State,P_Gain,I_Gain,D_Gain
2026-09-04 16:48:58,0.8,297.2665,0.0000,305.0000,-7.7335,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:00,2.7,297.3647,0.0000,305.0000,-7.6353,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:02,4.7,297.4644,0.0000,305.0000,-7.5356,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:04,6.6,297.5746,0.0000,305.0000,-7.4254,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:06,8.6,297.6767,0.0000,305.0000,-7.3233,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:08,10.5,297.7847,0.0000,305.0000,-7.2153,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:10,12.5,297.8921,0.0000,305.0000,-7.1079,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:12,14.4,297.9975,0.0000,305.0000,-7.0025,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:14,16.3,298.1034,0.0000,305.0000,-6.8966,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:16,18.3,298.2065,0.0000,305.0000,-6.7935,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:18,20.2,298.3148,0.0000,305.0000,-6.6852,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:20,22.2,298.4226,0.0000,305.0000,-6.5774,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:22,24.1,298.5293,0.0000,305.0000,-6.4707,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:24,26.0,298.6331,0.0000,305.0000,-6.3669,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:25,28.0,298.7423,0.0000,305.0000,-6.2577,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:27,29.9,298.8508,0.0000,305.0000,-6.1492,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:29,31.9,298.9555,0.0000,305.0000,-6.0445,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:31,33.8,299.0602,0.0000,305.0000,-5.9398,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:33,35.8,299.1656,0.0000,305.0000,-5.8344,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:35,37.7,299.2661,0.0000,305.0000,-5.7339,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:37,39.7,299.3700,0.0000,305.0000,-5.6300,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:39,41.6,299.4748,0.0000,305.0000,-5.5252,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:41,43.5,299.5807,0.0000,305.0000,-5.4193,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:43,45.5,299.6853,0.0000,305.0000,-5.3147,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:45,47.4,299.7896,0.0000,305.0000,-5.2104,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:47,49.3,299.8898,0.0000,305.0000,-5.1102,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:49,51.3,299.9926,0.0000,305.0000,-5.0074,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:51,53.2,300.0933,0.0000,305.0000,-4.9067,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:53,55.2,300.1945,0.0000,305.0000,-4.8055,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:55,57.1,300.2910,0.0000,305.0000,-4.7090,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:57,59.0,300.3913,0.0000,305.0000,-4.6087,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:49:58,61.0,300.4917,0.0000,305.0000,-4.5083,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:00,62.9,300.5920,0.0000,305.0000,-4.4080,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:02,64.9,300.6927,0.0000,305.0000,-4.3073,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:04,66.9,300.7928,0.0000,305.0000,-4.2072,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:06,68.8,300.8927,0.0000,305.0000,-4.1073,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:08,70.7,300.9926,0.0000,305.0000,-4.0074,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:10,72.7,301.0883,0.0000,305.0000,-3.9117,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:12,74.6,301.1871,0.0000,305.0000,-3.8129,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:14,76.5,301.2874,0.0000,305.0000,-3.7126,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:16,78.5,301.3869,0.0000,305.0000,-3.6131,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:18,80.4,301.4806,0.0000,305.0000,-3.5194,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:20,82.4,301.5787,0.0000,305.0000,-3.4213,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:22,84.3,301.6769,0.0000,305.0000,-3.3231,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:24,86.2,301.7709,0.0000,305.0000,-3.2291,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:26,88.2,301.8696,0.0000,305.0000,-3.1304,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:28,90.1,301.9675,0.0000,305.0000,-3.0325,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:30,92.1,302.0653,0.0000,305.0000,-2.9347,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:32,94.0,302.1627,0.0000,305.0000,-2.8373,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:33,96.0,302.2601,0.0000,305.0000,-2.7399,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:35,97.9,302.3570,0.0000,305.0000,-2.6430,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:37,99.9,302.4544,0.0000,305.0000,-2.5456,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:39,101.8,302.5480,0.0000,305.0000,-2.4520,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:41,103.8,302.6454,0.0000,305.0000,-2.3546,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:43,105.7,302.7427,0.0000,305.0000,-2.2573,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:45,107.7,302.8399,0.0000,305.0000,-2.1601,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:47,109.6,302.9367,0.0000,305.0000,-2.0633,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:49,111.5,303.0335,0.0000,305.0000,-1.9665,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:51,113.5,303.1255,0.0000,305.0000,-1.8745,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:53,115.4,303.2211,0.0000,305.0000,-1.7789,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:55,117.4,303.3166,0.0000,305.0000,-1.6834,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:57,119.3,303.4118,0.0000,305.0000,-1.5882,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:50:59,121.2,303.5074,0.0000,305.0000,-1.4926,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:01,123.2,303.5989,0.0000,305.0000,-1.4011,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:03,125.1,303.6946,0.0000,305.0000,-1.3054,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:05,127.1,303.7908,0.0000,305.0000,-1.2092,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:07,129.0,303.8860,0.0000,305.0000,-1.1140,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:08,131.0,303.9814,0.0000,305.0000,-1.0186,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:10,132.9,304.0772,0.0000,305.0000,-0.9228,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:12,134.9,304.1695,0.0000,305.0000,-0.8305,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:14,136.8,304.2646,0.0000,305.0000,-0.7354,50.00,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:16,138.8,304.3595,0.0000,305.0000,-0.6405,49.99,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:18,140.7,304.4554,0.0000,305.0000,-0.5446,49.93,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:20,142.6,304.5505,0.0000,305.0000,-0.4495,49.87,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:22,144.6,304.6447,0.0000,305.0000,-0.3553,49.76,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:24,146.5,304.7390,0.0000,305.0000,-0.2610,49.61,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:26,148.5,304.8357,0.0000,305.0000,-0.1643,49.38,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:28,150.4,304.9276,0.0000,305.0000,-0.0724,49.18,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:30,152.4,305.0222,0.0000,305.0000,+0.0222,48.94,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:32,154.3,305.1161,0.0000,305.0000,+0.1161,48.65,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:34,156.3,305.2099,0.0000,305.0000,+0.2099,48.32,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:36,158.2,305.3005,0.0000,305.0000,+0.3005,47.97,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:38,160.2,305.3979,0.0000,305.0000,+0.3979,47.60,2.00,2,ON,2.0200,30.4000,52.6000
2026-09-04 16:51:40,162.1,305.4897,0.0000,305.0000,+0.4897,47.17,2.00,2,ON,2.0200,30.4000,52.6000
