Timestamp,Elapsed_Sec,Temp_A_K,Setpoint_K,Error_K,Heater_Pct,Ramp_Rate_K_min,P_Gain,I_Gain,D_Gain,Range,Stage
2026-09-04 17:26:51,0.0,318.8096,327.00,-8.1904,16.80,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:52,1.3,318.8064,327.00,-8.1936,17.80,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:54,2.6,318.8041,327.00,-8.1959,18.80,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:55,3.9,318.8021,327.00,-8.1979,19.81,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:56,5.2,318.7997,327.00,-8.2003,20.82,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:57,6.5,318.7976,327.00,-8.2024,21.84,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:26:59,7.8,318.7951,327.00,-8.2049,22.86,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:00,9.1,318.7926,327.00,-8.2074,23.86,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:01,10.4,318.7912,327.00,-8.2088,24.86,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:03,11.7,318.7907,327.00,-8.2093,25.86,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:04,13.0,318.7908,327.00,-8.2092,26.85,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:05,14.3,318.7914,327.00,-8.2086,27.84,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:07,15.7,318.7932,327.00,-8.2068,28.82,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:08,17.0,318.7959,327.00,-8.2041,29.80,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:09,18.3,318.8003,327.00,-8.1997,30.77,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:10,19.6,318.8062,327.00,-8.1938,31.72,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:12,20.9,318.8138,327.00,-8.1862,32.67,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:13,22.2,318.8231,327.00,-8.1769,33.61,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:14,23.5,318.8346,327.00,-8.1654,34.53,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:16,24.8,318.8488,327.00,-8.1512,35.44,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:17,26.1,318.8643,327.00,-8.1357,36.35,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:18,27.4,318.8817,327.00,-8.1183,37.26,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:20,28.7,318.9007,327.00,-8.0993,38.15,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:21,30.0,318.9218,327.00,-8.0782,39.01,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:22,31.3,318.9460,327.00,-8.0540,39.87,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:23,32.6,318.9719,327.00,-8.0281,40.73,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:25,33.9,318.9999,327.00,-8.0001,41.58,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:26,35.2,319.0297,327.00,-7.9703,42.40,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:27,36.5,319.0619,327.00,-7.9381,43.21,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:29,37.8,319.0963,327.00,-7.9037,44.04,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:30,39.1,319.1320,327.00,-7.8680,44.83,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:31,40.4,319.1702,327.00,-7.8298,45.60,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:33,41.7,319.2116,327.00,-7.7884,46.37,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:34,43.0,319.2545,327.00,-7.7455,47.13,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:35,44.3,319.2993,327.00,-7.7007,47.86,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:37,45.6,319.3470,327.00,-7.6530,48.60,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:38,46.9,319.3964,327.00,-7.6036,49.31,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:39,48.2,319.4496,327.00,-7.5504,49.97,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:40,49.6,319.5052,327.00,-7.4948,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:42,50.9,319.5619,327.00,-7.4381,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:43,52.2,319.6200,327.00,-7.3800,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:44,53.5,319.6793,327.00,-7.3207,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:46,54.8,319.7401,327.00,-7.2599,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:47,56.1,319.7986,327.00,-7.2014,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:48,57.4,319.8667,327.00,-7.1333,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:50,58.7,319.9322,327.00,-7.0678,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:51,60.0,319.9984,327.00,-7.0016,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:52,61.3,320.0648,327.00,-6.9352,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:53,62.6,320.1317,327.00,-6.8683,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:55,63.9,320.1991,327.00,-6.8009,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:56,65.2,320.2666,327.00,-6.7334,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:57,66.5,320.3295,327.00,-6.6705,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:27:59,67.8,320.4007,327.00,-6.5993,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:00,69.1,320.4681,327.00,-6.5319,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:01,70.4,320.5359,327.00,-6.4641,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:03,71.7,320.6040,327.00,-6.3960,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:04,73.0,320.6714,327.00,-6.3286,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:05,74.3,320.7354,327.00,-6.2646,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:07,75.6,320.8027,327.00,-6.1973,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:08,76.9,320.8697,327.00,-6.1303,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:09,78.2,320.9376,327.00,-6.0624,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:10,79.5,321.0053,327.00,-5.9947,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:12,80.8,321.0727,327.00,-5.9273,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:13,82.1,321.1393,327.00,-5.8607,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:14,83.4,321.2057,327.00,-5.7943,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:16,84.7,321.2723,327.00,-5.7277,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:17,86.1,321.3388,327.00,-5.6612,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:18,87.4,321.4048,327.00,-5.5952,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:20,88.7,321.4708,327.00,-5.5292,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:21,90.0,321.5360,327.00,-5.4640,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:22,91.3,321.6014,327.00,-5.3986,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:23,92.6,321.6669,327.00,-5.3331,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:25,93.9,321.7319,327.00,-5.2681,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:26,95.2,321.7970,327.00,-5.2030,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:27,96.5,321.8615,327.00,-5.1385,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:29,97.8,321.9263,327.00,-5.0737,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:30,99.1,321.9897,327.00,-5.0103,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:31,100.4,322.0521,327.00,-4.9479,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:33,101.7,322.1150,327.00,-4.8850,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:34,103.0,322.1784,327.00,-4.8216,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:35,104.3,322.2422,327.00,-4.7578,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:37,105.6,322.3057,327.00,-4.6943,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:38,106.9,322.3694,327.00,-4.6306,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:39,108.2,322.4327,327.00,-4.5673,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
2026-09-04 17:28:40,109.5,322.4961,327.00,-4.5039,50.00,2.00,2.0,18.0,55.0,HI,RAMPING
